[02:46:00] [Netty EPOLL Client IO #1/INFO] (ViaProxy) [PROXY KICK] (REDACTED_IP:37540 | null) [0m[38;2;255;85;85mCould not connect to the backend server![0m
[02:46:05] [Netty EPOLL Server Child IO #2/INFO] (ViaProxy) [CONNECT] (REDACTED_IP:33054 | null) [1.21.5 <-> 26.2] Connecting to CLgamingTV.aternos.me:36025
[02:46:16] [Netty EPOLL Server Child IO #2/INFO] (ViaProxy) [AUTH] (REDACTED_IP:33054 | CombatBot) Filling player data
[02:46:16] [Netty EPOLL Client IO #2/INFO] (ViaProxy) [DISCONNECT] (REDACTED_IP:33054 | CombatBot) Connection closed
[02:46:21] [Netty EPOLL Server Child IO #3/INFO] (ViaProxy) [CONNECT] (REDACTED_IP:59866 | null) [1.21.5 <-> 26.2] Connecting to CLgamingTV.aternos.me:36025
[02:46:22] [Netty EPOLL Server Child IO #3/INFO] (ViaProxy) [AUTH] (REDACTED_IP:59866 | CombatBot) Filling player data
[02:46:22] [Netty EPOLL Client IO #3/INFO] (ViaProxy) [DISCONNECT] (REDACTED_IP:59866 | CombatBot) Connection closed
[02:46:27] [Netty EPOLL Server Child IO #4/INFO] (ViaProxy) [CONNECT] (REDACTED_IP:59878 | null) [1.21.5 <-> 26.2] Connecting to CLgamingTV.aternos.me:36025
[02:46:42] [Netty EPOLL Client IO #4/INFO] (ViaProxy) [PROXY KICK] (REDACTED_IP:59878 | null) [0m[38;2;255;85;85mCould not connect to the backend server![0m
[02:46:47] [Netty EPOLL Server Child IO #5/INFO] (ViaProxy) [CONNECT] (REDACTED_IP:34966 | null) [1.21.5 <-> 26.2] Connecting to CLgamingTV.aternos.me:36025
[02:46:58] [Netty EPOLL Server Child IO #5/INFO] (ViaProxy) [AUTH] (REDACTED_IP:34966 | CombatBot) Filling player data
[02:46:58] [Netty EPOLL Client IO #5/INFO] (ViaProxy) [DISCONNECT] (REDACTED_IP:34966 | CombatBot) Connection closed
[02:47:03] [Netty EPOLL Server Child IO #6/INFO] (ViaProxy) [CONNECT] (REDACTED_IP:58172 | null) [1.21.5 <-> 26.2] Connecting to CLgamingTV.aternos.me:36025
[02:47:09] [Netty EPOLL Server Child IO #6/INFO] (ViaProxy) [AUTH] (REDACTED_IP:58172 | CombatBot) Filling player data
[02:47:09] [Netty EPOLL Client IO #6/INFO] (ViaProxy) [DISCONNECT] (REDACTED_IP:58172 | CombatBot) Connection closed
[02:47:14] [Netty EPOLL Server Child IO #7/INFO] (ViaProxy) [CONNECT] (REDACTED_IP:46898 | null) [1.21.5 <-> 26.2] Connecting to CLgamingTV.aternos.me:36025
[02:47:25] [Netty EPOLL Server Child IO #7/INFO] (ViaProxy) [AUTH] (REDACTED_IP:46898 | CombatBot) Filling player data
[02:47:26] [Netty EPOLL Client IO #7/INFO] (ViaProxy) [DISCONNECT] (REDACTED_IP:46898 | CombatBot) Connection closed
[02:47:31] [Netty EPOLL Server Child IO #0/INFO] (ViaProxy) [CONNECT] (REDACTED_IP:46098 | null) [1.21.5 <-> 26.2] Connecting to CLgamingTV.aternos.me:36025
[02:47:31] [Netty EPOLL Server Child IO #0/INFO] (ViaProxy) [AUTH] (REDACTED_IP:46098 | CombatBot) Filling player data
[02:47:31] [Netty EPOLL Client IO #0/INFO] (ViaProxy) [DISCONNECT] (REDACTED_IP:46098 | CombatBot) Connection closed
[02:47:36] [Netty EPOLL Server Child IO #1/INFO] (ViaProxy) [CONNECT] (REDACTED_IP:46108 | null) [1.21.5 <-> 26.2] Connecting to CLgamingTV.aternos.me:36025
[02:47:51] [Netty EPOLL Client IO #1/INFO] (ViaProxy) [PROXY KICK] (REDACTED_IP:46108 | null) [0m[38;2;255;85;85mCould not connect to the backend server![0m
[02:47:56] [Netty EPOLL Server Child IO #2/INFO] (ViaProxy) [CONNECT] (REDACTED_IP:54278 | null) [1.21.5 <-> 26.2] Connecting to CLgamingTV.aternos.me:36025
[02:48:07] [Netty EPOLL Server Child IO #2/INFO] (ViaProxy) [AUTH] (REDACTED_IP:54278 | CombatBot) Filling player data
[02:48:08] [Netty EPOLL Client IO #2/INFO] (ViaProxy) [DISCONNECT] (REDACTED_IP:54278 | CombatBot) Connection closed
[02:48:13] [Netty EPOLL Server Child IO #3/INFO] (ViaProxy) [CONNECT] (REDACTED_IP:33212 | null) [1.21.5 <-> 26.2] Connecting to CLgamingTV.aternos.me:36025
[02:48:13] [Netty EPOLL Server Child IO #3/INFO] (ViaProxy) [AUTH] (REDACTED_IP:33212 | CombatBot) Filling player data
